file,genre,label
..\augmented_dataset\country\country_1244.npy,country,2
..\augmented_dataset\blues\blues_1990.npy,blues,0
..\augmented_dataset\classical\classical_0351.npy,classical,1
..\augmented_dataset\disco\disco_1671.npy,disco,3
..\augmented_dataset\jazz\jazz_1657.npy,jazz,5
..\augmented_dataset\hiphop\hiphop_0017.npy,hiphop,4
..\augmented_dataset\country\country_1395.npy,country,2
..\augmented_dataset\pop\pop_0290.npy,pop,7
..\augmented_dataset\blues\blues_1112.npy,blues,0
..\augmented_dataset\disco\disco_0521.npy,disco,3
..\augmented_dataset\metal\metal_1858.npy,metal,6
..\augmented_dataset\metal\metal_0451.npy,metal,6
..\augmented_dataset\country\country_0335.npy,country,2
..\augmented_dataset\classical\classical_0075.npy,classical,1
..\augmented_dataset\pop\pop_0891.npy,pop,7
..\augmented_dataset\classical\classical_1657.npy,classical,1
..\augmented_dataset\reggae\reggae_1295.npy,reggae,8
..\augmented_dataset\hiphop\hiphop_0007.npy,hiphop,4
..\augmented_dataset\pop\pop_0090.npy,pop,7
..\augmented_dataset\rock\rock_0384.npy,rock,9
..\augmented_dataset\jazz\jazz_1123.npy,jazz,5
..\augmented_dataset\blues\blues_1958.npy,blues,0
..\augmented_dataset\hiphop\hiphop_1773.npy,hiphop,4
..\augmented_dataset\pop\pop_0608.npy,pop,7
..\augmented_dataset\disco\disco_0776.npy,disco,3
..\augmented_dataset\disco\disco_1271.npy,disco,3
..\augmented_dataset\jazz\jazz_1714.npy,jazz,5
..\augmented_dataset\country\country_0259.npy,country,2
..\augmented_dataset\classical\classical_1614.npy,classical,1
..\augmented_dataset\hiphop\hiphop_0330.npy,hiphop,4
..\augmented_dataset\classical\classical_1563.npy,classical,1
..\augmented_dataset\metal\metal_0500.npy,metal,6
..\augmented_dataset\rock\rock_0069.npy,rock,9
..\augmented_dataset\blues\blues_1131.npy,blues,0
..\augmented_dataset\pop\pop_1975.npy,pop,7
..\augmented_dataset\jazz\jazz_1900.npy,jazz,5
..\augmented_dataset\pop\pop_1995.npy,pop,7
..\augmented_dataset\pop\pop_0183.npy,pop,7
..\augmented_dataset\country\country_1720.npy,country,2
..\augmented_dataset\classical\classical_0407.npy,classical,1
..\augmented_dataset\hiphop\hiphop_0064.npy,hiphop,4
..\augmented_dataset\metal\metal_0713.npy,metal,6
..\augmented_dataset\reggae\reggae_1144.npy,reggae,8
..\augmented_dataset\classical\classical_1715.npy,classical,1
..\augmented_dataset\hiphop\hiphop_0442.npy,hiphop,4
..\augmented_dataset\blues\blues_0059.npy,blues,0
..\augmented_dataset\metal\metal_0033.npy,metal,6
..\augmented_dataset\jazz\jazz_1228.npy,jazz,5
..\augmented_dataset\hiphop\hiphop_1723.npy,hiphop,4
..\augmented_dataset\blues\blues_0124.npy,blues,0
..\augmented_dataset\metal\metal_1330.npy,metal,6
..\augmented_dataset\reggae\reggae_0860.npy,reggae,8
..\augmented_dataset\rock\rock_1619.npy,rock,9
..\augmented_dataset\rock\rock_1042.npy,rock,9
..\augmented_dataset\rock\rock_1235.npy,rock,9
..\augmented_dataset\classical\classical_0130.npy,classical,1
..\augmented_dataset\jazz\jazz_0521.npy,jazz,5
..\augmented_dataset\hiphop\hiphop_1982.npy,hiphop,4
..\augmented_dataset\hiphop\hiphop_0676.npy,hiphop,4
..\augmented_dataset\reggae\reggae_0513.npy,reggae,8
..\augmented_dataset\jazz\jazz_1211.npy,jazz,5
..\augmented_dataset\pop\pop_1913.npy,pop,7
..\augmented_dataset\rock\rock_0426.npy,rock,9
..\augmented_dataset\disco\disco_1713.npy,disco,3
..\augmented_dataset\classical\classical_1865.npy,classical,1
..\augmented_dataset\disco\disco_1253.npy,disco,3
..\augmented_dataset\jazz\jazz_0233.npy,jazz,5
..\augmented_dataset\jazz\jazz_1030.npy,jazz,5
..\augmented_dataset\reggae\reggae_0529.npy,reggae,8
..\augmented_dataset\rock\rock_1613.npy,rock,9
..\augmented_dataset\metal\metal_0399.npy,metal,6
..\augmented_dataset\classical\classical_0542.npy,classical,1
..\augmented_dataset\disco\disco_0574.npy,disco,3
..\augmented_dataset\blues\blues_1872.npy,blues,0
..\augmented_dataset\disco\disco_1318.npy,disco,3
..\augmented_dataset\country\country_1579.npy,country,2
..\augmented_dataset\hiphop\hiphop_0687.npy,hiphop,4
..\augmented_dataset\hiphop\hiphop_1204.npy,hiphop,4
..\augmented_dataset\blues\blues_0900.npy,blues,0
..\augmented_dataset\metal\metal_0916.npy,metal,6
..\augmented_dataset\rock\rock_0814.npy,rock,9
..\augmented_dataset\rock\rock_1131.npy,rock,9
..\augmented_dataset\hiphop\hiphop_0932.npy,hiphop,4
..\augmented_dataset\disco\disco_0100.npy,disco,3
..\augmented_dataset\metal\metal_0643.npy,metal,6
..\augmented_dataset\hiphop\hiphop_0388.npy,hiphop,4
..\augmented_dataset\disco\disco_0466.npy,disco,3
..\augmented_dataset\hiphop\hiphop_0545.npy,hiphop,4
..\augmented_dataset\disco\disco_0095.npy,disco,3
..\augmented_dataset\disco\disco_1026.npy,disco,3
..\augmented_dataset\rock\rock_1708.npy,rock,9
..\augmented_dataset\blues\blues_1453.npy,blues,0
..\augmented_dataset\reggae\reggae_0351.npy,reggae,8
..\augmented_dataset\pop\pop_0857.npy,pop,7
..\augmented_dataset\country\country_1347.npy,country,2
..\augmented_dataset\reggae\reggae_0961.npy,reggae,8
..\augmented_dataset\pop\pop_0958.npy,pop,7
..\augmented_dataset\jazz\jazz_1092.npy,jazz,5
..\augmented_dataset\hiphop\hiphop_0586.npy,hiphop,4
..\augmented_dataset\reggae\reggae_0964.npy,reggae,8
..\augmented_dataset\reggae\reggae_1065.npy,reggae,8
..\augmented_dataset\rock\rock_1929.npy,rock,9
..\augmented_dataset\jazz\jazz_1647.npy,jazz,5
..\augmented_dataset\metal\metal_0664.npy,metal,6
..\augmented_dataset\blues\blues_0783.npy,blues,0
..\augmented_dataset\pop\pop_0190.npy,pop,7
..\augmented_dataset\reggae\reggae_1339.npy,reggae,8
..\augmented_dataset\classical\classical_0395.npy,classical,1
..\augmented_dataset\rock\rock_0090.npy,rock,9
..\augmented_dataset\metal\metal_0106.npy,metal,6
..\augmented_dataset\disco\disco_1103.npy,disco,3
..\augmented_dataset\reggae\reggae_1921.npy,reggae,8
..\augmented_dataset\blues\blues_0218.npy,blues,0
..\augmented_dataset\pop\pop_1107.npy,pop,7
..\augmented_dataset\hiphop\hiphop_1381.npy,hiphop,4
..\augmented_dataset\hiphop\hiphop_0162.npy,hiphop,4
..\augmented_dataset\hiphop\hiphop_0582.npy,hiphop,4
..\augmented_dataset\classical\classical_0868.npy,classical,1
..\augmented_dataset\hiphop\hiphop_0527.npy,hiphop,4
..\augmented_dataset\rock\rock_1832.npy,rock,9
..\augmented_dataset\reggae\reggae_0546.npy,reggae,8
..\augmented_dataset\hiphop\hiphop_1910.npy,hiphop,4
..\augmented_dataset\disco\disco_0509.npy,disco,3
..\augmented_dataset\blues\blues_0651.npy,blues,0
..\augmented_dataset\pop\pop_1684.npy,pop,7
..\augmented_dataset\disco\disco_1072.npy,disco,3
..\augmented_dataset\rock\rock_1805.npy,rock,9
..\augmented_dataset\classical\classical_1393.npy,classical,1
..\augmented_dataset\blues\blues_0935.npy,blues,0
..\augmented_dataset\classical\classical_1592.npy,classical,1
..\augmented_dataset\disco\disco_1153.npy,disco,3
..\augmented_dataset\pop\pop_0158.npy,pop,7
..\augmented_dataset\classical\classical_1623.npy,classical,1
..\augmented_dataset\hiphop\hiphop_0499.npy,hiphop,4
..\augmented_dataset\disco\disco_1714.npy,disco,3
..\augmented_dataset\metal\metal_0406.npy,metal,6
..\augmented_dataset\metal\metal_1007.npy,metal,6
..\augmented_dataset\country\country_1968.npy,country,2
..\augmented_dataset\hiphop\hiphop_0202.npy,hiphop,4
..\augmented_dataset\hiphop\hiphop_0749.npy,hiphop,4
..\augmented_dataset\pop\pop_0804.npy,pop,7
..\augmented_dataset\country\country_0828.npy,country,2
..\augmented_dataset\reggae\reggae_0808.npy,reggae,8
..\augmented_dataset\pop\pop_1653.npy,pop,7
..\augmented_dataset\classical\classical_1578.npy,classical,1
..\augmented_dataset\disco\disco_0613.npy,disco,3
..\augmented_dataset\disco\disco_1796.npy,disco,3
..\augmented_dataset\hiphop\hiphop_1250.npy,hiphop,4
..\augmented_dataset\disco\disco_0902.npy,disco,3
..\augmented_dataset\disco\disco_0674.npy,disco,3
..\augmented_dataset\country\country_1128.npy,country,2
..\augmented_dataset\jazz\jazz_1524.npy,jazz,5
..\augmented_dataset\metal\metal_1771.npy,metal,6
..\augmented_dataset\reggae\reggae_0435.npy,reggae,8
..\augmented_dataset\jazz\jazz_1205.npy,jazz,5
..\augmented_dataset\blues\blues_0678.npy,blues,0
..\augmented_dataset\classical\classical_0907.npy,classical,1
..\augmented_dataset\blues\blues_1760.npy,blues,0
..\augmented_dataset\metal\metal_1956.npy,metal,6
..\augmented_dataset\classical\classical_0223.npy,classical,1
..\augmented_dataset\rock\rock_1370.npy,rock,9
..\augmented_dataset\jazz\jazz_0631.npy,jazz,5
..\augmented_dataset\classical\classical_1770.npy,classical,1
..\augmented_dataset\disco\disco_0817.npy,disco,3
..\augmented_dataset\pop\pop_1854.npy,pop,7
..\augmented_dataset\rock\rock_0317.npy,rock,9
..\augmented_dataset\reggae\reggae_0494.npy,reggae,8
..\augmented_dataset\reggae\reggae_1079.npy,reggae,8
..\augmented_dataset\jazz\jazz_1651.npy,jazz,5
..\augmented_dataset\pop\pop_1476.npy,pop,7
..\augmented_dataset\country\country_0485.npy,country,2
..\augmented_dataset\rock\rock_1143.npy,rock,9
..\augmented_dataset\country\country_1642.npy,country,2
..\augmented_dataset\classical\classical_0926.npy,classical,1
..\augmented_dataset\hiphop\hiphop_1249.npy,hiphop,4
..\augmented_dataset\country\country_1267.npy,country,2
..\augmented_dataset\hiphop\hiphop_0533.npy,hiphop,4
..\augmented_dataset\country\country_0547.npy,country,2
..\augmented_dataset\jazz\jazz_1133.npy,jazz,5
..\augmented_dataset\metal\metal_1507.npy,metal,6
..\augmented_dataset\blues\blues_0713.npy,blues,0
..\augmented_dataset\jazz\jazz_0061.npy,jazz,5
..\augmented_dataset\reggae\reggae_0815.npy,reggae,8
..\augmented_dataset\jazz\jazz_1616.npy,jazz,5
..\augmented_dataset\jazz\jazz_0625.npy,jazz,5
..\augmented_dataset\metal\metal_1908.npy,metal,6
..\augmented_dataset\pop\pop_0687.npy,pop,7
..\augmented_dataset\disco\disco_0624.npy,disco,3
..\augmented_dataset\hiphop\hiphop_0561.npy,hiphop,4
..\augmented_dataset\hiphop\hiphop_1772.npy,hiphop,4
..\augmented_dataset\rock\rock_0561.npy,rock,9
..\augmented_dataset\jazz\jazz_1769.npy,jazz,5
..\augmented_dataset\blues\blues_0181.npy,blues,0
..\augmented_dataset\jazz\jazz_1322.npy,jazz,5
..\augmented_dataset\blues\blues_1386.npy,blues,0
..\augmented_dataset\rock\rock_1034.npy,rock,9
..\augmented_dataset\metal\metal_1798.npy,metal,6
..\augmented_dataset\hiphop\hiphop_0227.npy,hiphop,4
..\augmented_dataset\rock\rock_1193.npy,rock,9
..\augmented_dataset\rock\rock_0362.npy,rock,9
..\augmented_dataset\jazz\jazz_0897.npy,jazz,5
..\augmented_dataset\metal\metal_0620.npy,metal,6
..\augmented_dataset\classical\classical_1757.npy,classical,1
..\augmented_dataset\metal\metal_0531.npy,metal,6
..\augmented_dataset\country\country_1406.npy,country,2
..\augmented_dataset\reggae\reggae_0955.npy,reggae,8
..\augmented_dataset\blues\blues_0865.npy,blues,0
..\augmented_dataset\country\country_0675.npy,country,2
..\augmented_dataset\classical\classical_0601.npy,classical,1
..\augmented_dataset\jazz\jazz_0466.npy,jazz,5
..\augmented_dataset\blues\blues_1090.npy,blues,0
..\augmented_dataset\country\country_0243.npy,country,2
..\augmented_dataset\pop\pop_0342.npy,pop,7
..\augmented_dataset\pop\pop_1467.npy,pop,7
..\augmented_dataset\jazz\jazz_0213.npy,jazz,5
..\augmented_dataset\blues\blues_1699.npy,blues,0
..\augmented_dataset\metal\metal_1648.npy,metal,6
..\augmented_dataset\blues\blues_0044.npy,blues,0
..\augmented_dataset\blues\blues_0030.npy,blues,0
..\augmented_dataset\blues\blues_0357.npy,blues,0
..\augmented_dataset\classical\classical_0503.npy,classical,1
..\augmented_dataset\classical\classical_1869.npy,classical,1
..\augmented_dataset\blues\blues_1006.npy,blues,0
..\augmented_dataset\country\country_1715.npy,country,2
..\augmented_dataset\rock\rock_1599.npy,rock,9
..\augmented_dataset\reggae\reggae_0905.npy,reggae,8
..\augmented_dataset\metal\metal_1317.npy,metal,6
..\augmented_dataset\pop\pop_0777.npy,pop,7
..\augmented_dataset\country\country_0955.npy,country,2
..\augmented_dataset\disco\disco_0975.npy,disco,3
..\augmented_dataset\metal\metal_0475.npy,metal,6
..\augmented_dataset\classical\classical_0888.npy,classical,1
..\augmented_dataset\classical\classical_0446.npy,classical,1
..\augmented_dataset\disco\disco_0361.npy,disco,3
..\augmented_dataset\classical\classical_1484.npy,classical,1
..\augmented_dataset\jazz\jazz_0600.npy,jazz,5
..\augmented_dataset\pop\pop_1322.npy,pop,7
..\augmented_dataset\reggae\reggae_1877.npy,reggae,8
..\augmented_dataset\country\country_1294.npy,country,2
..\augmented_dataset\reggae\reggae_1425.npy,reggae,8
..\augmented_dataset\jazz\jazz_0318.npy,jazz,5
..\augmented_dataset\classical\classical_1285.npy,classical,1
..\augmented_dataset\country\country_1625.npy,country,2
..\augmented_dataset\reggae\reggae_1967.npy,reggae,8
..\augmented_dataset\hiphop\hiphop_1011.npy,hiphop,4
..\augmented_dataset\pop\pop_1332.npy,pop,7
..\augmented_dataset\country\country_1318.npy,country,2
..\augmented_dataset\disco\disco_0492.npy,disco,3
..\augmented_dataset\pop\pop_1776.npy,pop,7
..\augmented_dataset\jazz\jazz_0818.npy,jazz,5
..\augmented_dataset\blues\blues_1946.npy,blues,0
..\augmented_dataset\reggae\reggae_0117.npy,reggae,8
..\augmented_dataset\metal\metal_1826.npy,metal,6
..\augmented_dataset\country\country_0258.npy,country,2
..\augmented_dataset\pop\pop_1394.npy,pop,7
..\augmented_dataset\hiphop\hiphop_0404.npy,hiphop,4
..\augmented_dataset\rock\rock_0257.npy,rock,9
..\augmented_dataset\classical\classical_0770.npy,classical,1
..\augmented_dataset\country\country_1302.npy,country,2
..\augmented_dataset\hiphop\hiphop_1299.npy,hiphop,4
..\augmented_dataset\disco\disco_1633.npy,disco,3
..\augmented_dataset\country\country_0265.npy,country,2
..\augmented_dataset\country\country_0687.npy,country,2
..\augmented_dataset\metal\metal_1418.npy,metal,6
..\augmented_dataset\pop\pop_1115.npy,pop,7
..\augmented_dataset\disco\disco_1800.npy,disco,3
..\augmented_dataset\classical\classical_1340.npy,classical,1
..\augmented_dataset\metal\metal_1754.npy,metal,6
..\augmented_dataset\jazz\jazz_1070.npy,jazz,5
..\augmented_dataset\blues\blues_1352.npy,blues,0
..\augmented_dataset\blues\blues_1879.npy,blues,0
..\augmented_dataset\disco\disco_1941.npy,disco,3
..\augmented_dataset\reggae\reggae_0071.npy,reggae,8
..\augmented_dataset\jazz\jazz_1389.npy,jazz,5
..\augmented_dataset\disco\disco_1828.npy,disco,3
..\augmented_dataset\blues\blues_1308.npy,blues,0
..\augmented_dataset\blues\blues_0363.npy,blues,0
..\augmented_dataset\reggae\reggae_1508.npy,reggae,8
..\augmented_dataset\country\country_1161.npy,country,2
..\augmented_dataset\pop\pop_1030.npy,pop,7
..\augmented_dataset\hiphop\hiphop_0728.npy,hiphop,4
..\augmented_dataset\disco\disco_0557.npy,disco,3
..\augmented_dataset\classical\classical_1649.npy,classical,1
..\augmented_dataset\metal\metal_1575.npy,metal,6
..\augmented_dataset\hiphop\hiphop_0733.npy,hiphop,4
..\augmented_dataset\blues\blues_0976.npy,blues,0
..\augmented_dataset\disco\disco_0733.npy,disco,3
..\augmented_dataset\metal\metal_1392.npy,metal,6
..\augmented_dataset\metal\metal_0259.npy,metal,6
..\augmented_dataset\country\country_1057.npy,country,2
..\augmented_dataset\jazz\jazz_1951.npy,jazz,5
..\augmented_dataset\hiphop\hiphop_0462.npy,hiphop,4
..\augmented_dataset\metal\metal_0080.npy,metal,6
..\augmented_dataset\jazz\jazz_1562.npy,jazz,5
..\augmented_dataset\jazz\jazz_0991.npy,jazz,5
..\augmented_dataset\reggae\reggae_0738.npy,reggae,8
..\augmented_dataset\rock\rock_0138.npy,rock,9
..\augmented_dataset\blues\blues_0633.npy,blues,0
..\augmented_dataset\country\country_0622.npy,country,2
..\augmented_dataset\blues\blues_1378.npy,blues,0
..\augmented_dataset\disco\disco_1370.npy,disco,3
..\augmented_dataset\classical\classical_1594.npy,classical,1
..\augmented_dataset\blues\blues_0245.npy,blues,0
..\augmented_dataset\country\country_1632.npy,country,2
..\augmented_dataset\country\country_0468.npy,country,2
..\augmented_dataset\country\country_0164.npy,country,2
..\augmented_dataset\metal\metal_0581.npy,metal,6
..\augmented_dataset\disco\disco_0811.npy,disco,3
..\augmented_dataset\pop\pop_1148.npy,pop,7
..\augmented_dataset\pop\pop_0712.npy,pop,7
..\augmented_dataset\hiphop\hiphop_0214.npy,hiphop,4
..\augmented_dataset\pop\pop_0329.npy,pop,7
..\augmented_dataset\jazz\jazz_0636.npy,jazz,5
..\augmented_dataset\blues\blues_0806.npy,blues,0
..\augmented_dataset\reggae\reggae_1846.npy,reggae,8
..\augmented_dataset\country\country_1019.npy,country,2
..\augmented_dataset\jazz\jazz_0141.npy,jazz,5
..\augmented_dataset\country\country_0428.npy,country,2
..\augmented_dataset\jazz\jazz_0632.npy,jazz,5
..\augmented_dataset\country\country_0157.npy,country,2
..\augmented_dataset\disco\disco_0722.npy,disco,3
..\augmented_dataset\metal\metal_0197.npy,metal,6
..\augmented_dataset\blues\blues_1465.npy,blues,0
..\augmented_dataset\metal\metal_0959.npy,metal,6
..\augmented_dataset\metal\metal_1424.npy,metal,6
..\augmented_dataset\country\country_1092.npy,country,2
..\augmented_dataset\disco\disco_1998.npy,disco,3
..\augmented_dataset\classical\classical_0525.npy,classical,1
..\augmented_dataset\disco\disco_1937.npy,disco,3
..\augmented_dataset\metal\metal_0282.npy,metal,6
..\augmented_dataset\blues\blues_1466.npy,blues,0
..\augmented_dataset\classical\classical_0893.npy,classical,1
..\augmented_dataset\reggae\reggae_1525.npy,reggae,8
..\augmented_dataset\disco\disco_0563.npy,disco,3
..\augmented_dataset\blues\blues_0950.npy,blues,0
..\augmented_dataset\rock\rock_1324.npy,rock,9
..\augmented_dataset\metal\metal_0146.npy,metal,6
..\augmented_dataset\country\country_1381.npy,country,2
..\augmented_dataset\disco\disco_0911.npy,disco,3
..\augmented_dataset\metal\metal_1386.npy,metal,6
..\augmented_dataset\blues\blues_1198.npy,blues,0
..\augmented_dataset\reggae\reggae_1382.npy,reggae,8
..\augmented_dataset\classical\classical_1899.npy,classical,1
..\augmented_dataset\jazz\jazz_0122.npy,jazz,5
..\augmented_dataset\blues\blues_0601.npy,blues,0
..\augmented_dataset\pop\pop_0428.npy,pop,7
..\augmented_dataset\jazz\jazz_1894.npy,jazz,5
..\augmented_dataset\blues\blues_0757.npy,blues,0
..\augmented_dataset\classical\classical_0609.npy,classical,1
..\augmented_dataset\pop\pop_0957.npy,pop,7
..\augmented_dataset\blues\blues_0505.npy,blues,0
..\augmented_dataset\rock\rock_0600.npy,rock,9
..\augmented_dataset\disco\disco_1012.npy,disco,3
..\augmented_dataset\pop\pop_0878.npy,pop,7
..\augmented_dataset\pop\pop_1083.npy,pop,7
..\augmented_dataset\country\country_0761.npy,country,2
..\augmented_dataset\disco\disco_0700.npy,disco,3
..\augmented_dataset\disco\disco_1886.npy,disco,3
..\augmented_dataset\hiphop\hiphop_1203.npy,hiphop,4
..\augmented_dataset\rock\rock_0095.npy,rock,9
..\augmented_dataset\blues\blues_0213.npy,blues,0
..\augmented_dataset\pop\pop_1419.npy,pop,7
..\augmented_dataset\metal\metal_0454.npy,metal,6
..\augmented_dataset\country\country_0768.npy,country,2
..\augmented_dataset\metal\metal_0286.npy,metal,6
..\augmented_dataset\country\country_0118.npy,country,2
..\augmented_dataset\reggae\reggae_1766.npy,reggae,8
..\augmented_dataset\reggae\reggae_1489.npy,reggae,8
..\augmented_dataset\pop\pop_0222.npy,pop,7
..\augmented_dataset\hiphop\hiphop_1642.npy,hiphop,4
..\augmented_dataset\jazz\jazz_0693.npy,jazz,5
..\augmented_dataset\classical\classical_0568.npy,classical,1
..\augmented_dataset\classical\classical_1425.npy,classical,1
..\augmented_dataset\blues\blues_1912.npy,blues,0
..\augmented_dataset\classical\classical_1509.npy,classical,1
..\augmented_dataset\metal\metal_0425.npy,metal,6
..\augmented_dataset\classical\classical_1328.npy,classical,1
..\augmented_dataset\reggae\reggae_0574.npy,reggae,8
..\augmented_dataset\hiphop\hiphop_1577.npy,hiphop,4
..\augmented_dataset\hiphop\hiphop_0697.npy,hiphop,4
..\augmented_dataset\disco\disco_1764.npy,disco,3
..\augmented_dataset\pop\pop_1734.npy,pop,7
..\augmented_dataset\reggae\reggae_0146.npy,reggae,8
..\augmented_dataset\metal\metal_1633.npy,metal,6
..\augmented_dataset\blues\blues_0333.npy,blues,0
..\augmented_dataset\blues\blues_0461.npy,blues,0
..\augmented_dataset\pop\pop_0234.npy,pop,7
..\augmented_dataset\reggae\reggae_0384.npy,reggae,8
..\augmented_dataset\blues\blues_0760.npy,blues,0
..\augmented_dataset\rock\rock_0133.npy,rock,9
..\augmented_dataset\disco\disco_0240.npy,disco,3
..\augmented_dataset\country\country_1240.npy,country,2
..\augmented_dataset\jazz\jazz_0304.npy,jazz,5
..\augmented_dataset\jazz\jazz_1511.npy,jazz,5
..\augmented_dataset\jazz\jazz_1329.npy,jazz,5
..\augmented_dataset\jazz\jazz_1690.npy,jazz,5
..\augmented_dataset\pop\pop_1294.npy,pop,7
..\augmented_dataset\classical\classical_0784.npy,classical,1
..\augmented_dataset\disco\disco_1229.npy,disco,3
..\augmented_dataset\hiphop\hiphop_1815.npy,hiphop,4
..\augmented_dataset\jazz\jazz_1992.npy,jazz,5
..\augmented_dataset\rock\rock_1175.npy,rock,9
..\augmented_dataset\country\country_1396.npy,country,2
..\augmented_dataset\reggae\reggae_1905.npy,reggae,8
..\augmented_dataset\hiphop\hiphop_0130.npy,hiphop,4
..\augmented_dataset\rock\rock_1887.npy,rock,9
..\augmented_dataset\classical\classical_1206.npy,classical,1
..\augmented_dataset\metal\metal_0104.npy,metal,6
..\augmented_dataset\metal\metal_0478.npy,metal,6
..\augmented_dataset\classical\classical_1186.npy,classical,1
..\augmented_dataset\pop\pop_1945.npy,pop,7
..\augmented_dataset\rock\rock_1572.npy,rock,9
..\augmented_dataset\pop\pop_1038.npy,pop,7
..\augmented_dataset\disco\disco_0484.npy,disco,3
..\augmented_dataset\metal\metal_1859.npy,metal,6
..\augmented_dataset\metal\metal_1660.npy,metal,6
..\augmented_dataset\rock\rock_1237.npy,rock,9
..\augmented_dataset\metal\metal_1811.npy,metal,6
..\augmented_dataset\metal\metal_0278.npy,metal,6
..\augmented_dataset\classical\classical_0501.npy,classical,1
..\augmented_dataset\hiphop\hiphop_1895.npy,hiphop,4
..\augmented_dataset\country\country_0313.npy,country,2
